PerceptionOfWeight,BMIPCT,WeightPerception
3,66.5318241,About the right weight
1,98.17431868,Very underweight
1,33.07553097,Very underweight
3,45.68833421,About the right weight
3,62.39033084,About the right weight
3,13.9696424,About the right weight
4,80.35879541,Slightly overweight
4,80.08049978,Slightly overweight
3,35.25725233,About the right weight
4,80.35879541,Slightly overweight
4,76.77275392,Slightly overweight
3,41.90226796,About the right weight
3,49.68153626,About the right weight
3,50.94662272,About the right weight
2,69.5988229,Slightly underweight
4,98.54569735,Slightly overweight
4,99.62699856,Slightly overweight
4,95.67686938,Slightly overweight
3,66.97871065,About the right weight
3,77.24197648,About the right weight
3,96.7831408,About the right weight
3,42.1484795,About the right weight
4,94.07864967,Slightly overweight
3,92.75239448,About the right weight
4,94.79064882,Slightly overweight
3,41.70582009,About the right weight
4,96.62103194,Slightly overweight
4,86.84669781,Slightly overweight
3,71.27637135,About the right weight
3,78.9594291,About the right weight
3,75.69056427,About the right weight
3,68.88518339,About the right weight
2,19.66638439,Slightly underweight
4,58.90305846,Slightly overweight
4,87.30348222,Slightly overweight
3,19.34593133,About the right weight
5,97.16947681,Very overweight
3,13.9696424,About the right weight
4,94.79404677,Slightly overweight
3,16.53387163,About the right weight
3,59.97282837,About the right weight
3,29.31796292,About the right weight
3,52.96298965,About the right weight
3,57.45496513,About the right weight
3,62.39033084,About the right weight
2,15.1779208,Slightly underweight
3,1.812713435,About the right weight
3,57.45496513,About the right weight
5,95.05281444,Very overweight
3,43.19281437,About the right weight
3,64.73433168,About the right weight
3,83.03210906,About the right weight
3,85.76711283,About the right weight
3,93.5206906,About the right weight
3,65.88575167,About the right weight
4,87.29843376,Slightly overweight
4,93.98925052,Slightly overweight
4,60.66321529,Slightly overweight
3,50.10948386,About the right weight
3,96.62999717,About the right weight
4,98.44322633,Slightly overweight
3,51.77995186,About the right weight
3,38.53470375,About the right weight
4,97.32417296,Slightly overweight
2,41.70582009,Slightly underweight
3,47.52350758,About the right weight
2,20.46953227,Slightly underweight
3,75.4379744,About the right weight
3,32.74319281,About the right weight
4,92.86925353,Slightly overweight
3,81.62895753,About the right weight
3,45.33714908,About the right weight
4,83.06926617,Slightly overweight
4,91.60778436,Slightly overweight
3,45.33714908,About the right weight
3,36.51881463,About the right weight
3,55.18146429,About the right weight
2,61.92023551,Slightly underweight
3,65.84221705,About the right weight
3,35.20622619,About the right weight
3,97.18899955,About the right weight
3,82.05508744,About the right weight
4,90.62341985,Slightly overweight
3,66.08178759,About the right weight
4,82.19258456,Slightly overweight
3,54.40385458,About the right weight
1,94.7249625,Very underweight
3,52.25342381,About the right weight
3,72.21362837,About the right weight
3,77.04936127,About the right weight
3,26.67157309,About the right weight
5,96.59822418,Very overweight
3,87.00265796,About the right weight
3,71.77163239,About the right weight
3,80.9826523,About the right weight
4,98.45821402,Slightly overweight
3,53.62901996,About the right weight
2,51.32765319,Slightly underweight
3,82.7114493,About the right weight
2,96.62805126,Slightly underweight
3,78.10688836,About the right weight
3,50.27447135,About the right weight
4,97.8304981,Slightly overweight
3,67.35690955,About the right weight
3,99.47646663,About the right weight
2,54.75617318,Slightly underweight
4,89.90649736,Slightly overweight
2,30.89048164,Slightly underweight
3,34.10784442,About the right weight
4,98.13332826,Slightly overweight
3,93.60689746,About the right weight
2,27.81918727,Slightly underweight
3,73.91347781,About the right weight
3,58.167767,About the right weight
3,44.70874303,About the right weight
2,81.5523064,Slightly underweight
4,98.17687957,Slightly overweight
3,81.82099807,About the right weight
3,31.315611,About the right weight
3,42.35560365,About the right weight
2,59.47446449,Slightly underweight
3,52.82514857,About the right weight
3,51.9110774,About the right weight
4,99.50570658,Slightly overweight
2,78.28265536,Slightly underweight
3,69.54558992,About the right weight
3,51.99583271,About the right weight
3,63.68390278,About the right weight
3,32.79325237,About the right weight
4,89.82805567,Slightly overweight
2,50.5995942,Slightly underweight
3,87.50167897,About the right weight
2,23.70077074,Slightly underweight
